feature,importance
label_Below_50k_share_r1,0.1207224724393668
lifetimeComp,0.11739247612742357
transaction_category_supermarket_percent_cnt_2m,0.11391746234761747
profit_income_out_rur_amt_l2m,0.11165259242601999
avg_6m_restaurants,0.10967428227278388
device_iphone_avg,0.10448014761560291
dt,0.10388014347013812
transaction_category_supermarket_sum_cnt_m2,0.1029552959962719
dp_payoutincomedata_payout_max_3_month,0.1027788039230476
vert_has_app_ru_raiffeisennews,0.09575004931714674
dp_payoutincomedata_payout_max_6_month,0.09564607720578791
avg_loan_cnt_with_insurance,0.0953466156031757
vert_pil_fee_discount_change_3m,0.09507514507901879
id,0.09428398321854856
transaction_category_supermarket_sum_cnt_m3_4,0.09307228458640596
turn_fdep_db_avg_act_v2,0.09218547361921857
profit_income_out_rur_amt_12m,0.09175128926900404
avg_by_category__amount__sum__cashflowcategory_name__kosmetika,0.09093614750985408
transaction_category_fastfood_percent_cnt_2m,0.0873810111880516
days_to_last_transaction,0.08624444282114242
other_credits_count,0.08413162580574617
transaction_category_restaurants_percent_amt_2m,0.07940137309872947
cntVoiceOutMob6m,0.07900622497100254
hdb_ovrd_sum,0.07462199980641308
hdb_bki_total_pil_cnt,0.07434200724267921
avg_fdep_cr_turn,0.07278256813112112
dp_ils_employeers_cnt_last_month,0.07160115058663975
vert_pil_loan_application_success_3m,0.06763832321641867
avg_by_category__amount__sum__cashflowcategory_name__reklama_v_internete,0.06746149005287895
dp_ils_avg_simultanious_jobs_5y,0.06727505075919242
avg_by_category__amount__sum__cashflowcategory_name__puteshestvija,0.06637345128673292
avg_by_category__amount__sum__cashflowcategory_name__set_supermarketov,0.0652474627947663
by_category__amount__sum__eoperation_type_name__platezh_za_mobilnyj_cherez_ps,0.06436078224233627
avg_balance_rur_amt_1m_af,0.06315388637465863
avg_by_category__amount__sum__cashflowcategory_name__oteli,0.06285405792285458
dp_ils_total_seniority,0.06228180896884417
turn_fdep_db_sum_v2,0.06196810682196348
period_last_act_ad,0.05820971235083608
cred_dda_rur_amt_3m_avg,0.05579341677485554
hdb_bki_total_products,0.05239809497953481
loan_cnt,0.0507432665582616
avg_by_category__amount__sum__cashflowcategory_name__produkty,0.04453509811806863
hdb_bki_total_pil_max_del90,0.0439661560745557
calledCtnOutGroup,0.042693164905667
dp_ils_days_multiple_job_cnt_5y,0.042306262822275405
dp_ils_days_multiple_job_share_2y,0.04157182869101305
vert_pil_sms_success_3m,0.04005133068665058
hdb_bki_total_active_products,0.03793440325179541
